longitude;latitude
-73.9530945;40.5600691
-73.9473724;40.5373295
-73.9267731;40.541765
-73.8407135;40.5706754
-73.7736511;40.586712
-73.7503052;40.5901014
-73.7442398;40.5938816
-73.7355423;40.5936209
-73.7374306;40.6045694
-73.7434387;40.6097389
-73.7662697;40.6133878
-73.767128;40.6209454
-73.7385178;40.6354502
-73.742466;40.6462616
-73.7240982;40.651341
-73.7295914;40.6656656
-73.7258148;40.6857149
-73.7283325;40.7083173
-73.7293625;40.7161244
-73.724041;40.7239306
-73.7057304;40.7300881
-73.7081909;40.7466501
-73.7435245;40.7774001
-73.7699604;40.7976322
-73.8115883;40.8048658
-73.8364506;40.8000146
-73.8670921;40.7894881
-73.8749886;40.7839643
-73.8860607;40.7817329
-73.8961029;40.7900513
-73.9112949;40.7914809
-73.9288044;40.7774001
-73.9323235;40.7791549
-73.9379883;40.7782883
-73.9393616;40.7738685
-73.936615;40.7703802
-73.9435959;40.7655048
-73.9497471;40.7583103
-73.9608765;40.7448293
-73.9622497;40.7388465
-73.9577865;40.739887
-73.9419937;40.7362451
-73.9368439;40.7300014
-73.9268875;40.7273997
-73.9207077;40.7159509
-73.8995361;40.6940886
-73.8912964;40.6841962
-73.8672638;40.6929606
-73.849411;40.6427882
-73.8363647;40.6430487
-73.837738;40.6268953
-73.8267517;40.610738
-73.8322449;40.5997036
-73.8473511;40.6007463
-73.8507843;40.5873638
-73.9530945;40.5600691
